OBJECTID,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
466,GO-20202185440,2020,11/16/2020 5:00:00 AM,1415,2020,11/18/2020 5:00:00 AM,817,D11,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,Black,,,,,,No,Disturbing Religious Worship Or Certain Meetings,088,High Park North (88),088,High Park North (88),No
467,GO-20202257681,2020,11/23/2020 5:00:00 AM,1955,2020,11/29/2020 5:00:00 AM,1949,D55,Streets/Roadways/Highway,NO,NO,,Chinese,,,,,No,Assault,065,Greenwood-Coxwell (65),065,Greenwood-Coxwell (65),Yes
468,GO-20202231230,2020,11/25/2020 5:00:00 AM,930,2020,11/25/2020 5:00:00 AM,1021,D51,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,No,Assault Peace Officer,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),Yes
469,GO-20202230383,2020,11/25/2020 5:00:00 AM,658,2020,11/25/2020 5:00:00 AM,855,D41,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Jewish,,,No,Mischief Under $5000,122,Birchcliffe-Cliffside (122),122,Birchcliffe-Cliffside (122),No
470,GO-20202249100,2020,11/27/2020 5:00:00 AM,1430,2020,11/27/2020 5:00:00 AM,2345,D43,Public Transportation,NO,NO,,,,Muslim,,,No,Assault,123,Cliffcrest (123),123,Cliffcrest (123),No
471,GO-20202253077,2020,11/28/2020 5:00:00 AM,1150,2020,11/28/2020 5:00:00 AM,1156,D22,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,,,Jewish,,,Yes,Mischief Under $5000,018,New Toronto (18),018,New Toronto (18),No
472,GO-20202271709,2020,12/1/2020 5:00:00 AM,1602,2020,12/1/2020 5:00:00 AM,1602,D14,Streets/Roadways/Highway,NO,NO,,African,,,,,No,Assault With a Weapon,164,Wellington Place (164),077,Waterfront Communities-The Island (77),Yes
473,GO-20202298052,2020,12/4/2020 5:00:00 AM,2200,2020,12/5/2020 5:00:00 AM,1547,D14,Religious Place of Worship/Cultural Centre,NO,NO,,,,Catholic,,,No,"Mischief To Religious Property, Educational Institutions, Etc.",095,Annex (95),095,Annex (95),Yes
474,GO-20202310385,2020,12/7/2020 5:00:00 AM,1330,2020,12/7/2020 5:00:00 AM,1640,D32,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,No,Mischief Under $5000,153,Avondale (153),051,Willowdale East (51),No
475,GO-20202322665,2020,12/8/2020 5:00:00 AM,1430,2020,12/9/2020 5:00:00 AM,1402,D55,"Open Area, Park or Parking Lot",NO,NO,Black,,,,,,No,Mischief Under $5000,054,O'Connor-Parkview (54),054,O'Connor-Parkview (54),No
476,GO-20202334437,2020,12/11/2020 5:00:00 AM,1018,2020,12/11/2020 5:00:00 AM,1018,D51,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,,,,,,No,Uttering Threats - Bodily Harm,073,Moss Park (73),073,Moss Park (73),Yes
477,GO-20202352313,2020,12/13/2020 5:00:00 AM,2157,2020,12/14/2020 5:00:00 AM,1414,D14,Religious Place of Worship/Cultural Centre,NO,NO,,,,Catholic,,,No,"Mischief To Religious Property, Educational Institutions, Etc.",095,Annex (95),095,Annex (95),Yes
478,GO-20202379836,2020,12/17/2020 5:00:00 AM,1940,2020,12/18/2020 5:00:00 AM,1315,D31,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,,,,Jewish,,,No,Harassing Communications,155,Downsview (155),026,Downsview-Roding-CFB (26),No
479,GO-20202381048,2020,12/18/2020 5:00:00 AM,1400,2020,12/18/2020 5:00:00 AM,1819,D55,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,,,,,,No,Mischief Under $5000,054,O'Connor-Parkview (54),054,O'Connor-Parkview (54),No
480,GO-20202403949,2020,12/19/2020 5:00:00 AM,1200,2020,12/22/2020 5:00:00 AM,1407,D14,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Jewish,,,No,Mischief Under $5000,162,West Queen West (162),082,Niagara (82),No
481,GO-20202407120,2020,12/21/2020 5:00:00 AM,2330,2020,12/22/2020 5:00:00 AM,2110,D33,"Open Area, Park or Parking Lot",NO,NO,,,,Jewish,,,No,Mischief Under $5000,040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),No
482,GO-20202405430,2020,12/22/2020 5:00:00 AM,1617,2020,12/22/2020 5:00:00 AM,1634,D33,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,No,Mischief Under $5000,040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),No
483,GO-20202436524,2020,12/22/2020 5:00:00 AM,800,2020,12/28/2020 5:00:00 AM,1433,D51,Other Commercial / Corporate Places ,NO,NO,,,,Muslim,,,No,Uttering Threats - Bodily Harm,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),No
484,GO-20202408902,2020,12/23/2020 5:00:00 AM,0,2020,12/23/2020 5:00:00 AM,1053,D14,Religious Place of Worship/Cultural Centre,NO,NO,,,,Catholic,,,No,"Mischief To Religious Property, Educational Institutions, Etc.",095,Annex (95),095,Annex (95),Yes
485,GO-20202416423,2020,12/23/2020 5:00:00 AM,2100,2020,12/24/2020 5:00:00 AM,1255,D41,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Jewish,,,No,Mischief Interfere With Property,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),No
486,GO-2021106655,2021,1/1/2021 5:00:00 AM,0,2021,1/17/2021 5:00:00 AM,2304,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,White,,,,2SLGBTQ+,,Yes,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),No
487,GO-20212107726,2021,1/1/2021 5:00:00 AM,1200,2021,11/2/2021 4:00:00 AM,830,D43,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,,,Transgender Woman (Identifies As Woman),No,Criminal Harassment,136,West Hill (136),136,West Hill (136),No
488,GO-20218566,2021,1/2/2021 5:00:00 AM,1530,2021,1/2/2021 5:00:00 AM,1747,D53,"Open Area, Park or Parking Lot",NO,NO,Black,,,,,,No,Mischief Under $5000,174,South Eglinton-Davisville (174),104,Mount Pleasant West (104),No
489,GO-202125497,2021,1/4/2021 5:00:00 AM,800,2021,1/5/2021 5:00:00 AM,1334,D32,Religious Place of Worship/Cultural Centre,NO,NO,,,,Jewish,,,No,Disturbing Religious Worship Or Certain Meetings,034,Bathurst Manor (34),034,Bathurst Manor (34),No
490,GO-202173071,2021,1/12/2021 5:00:00 AM,1717,2021,1/12/2021 5:00:00 AM,1717,D13,Streets/Roadways/Highway,NO,NO,White,,,,,,No,Assault,108,Briar Hill-Belgravia (108),108,Briar Hill-Belgravia (108),No
491,GO-202180953,2021,1/13/2021 5:00:00 AM,2016,2021,1/13/2021 5:00:00 AM,2016,D42,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,,,,,,No,Assault,148,East L'Amoreaux (148),117,L'Amoreaux (117),No
492,GO-2021106201,2021,1/17/2021 5:00:00 AM,1752,2021,1/17/2021 5:00:00 AM,1933,D51,NA,NO,NO,Black,,,,,,No,Assault,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),No
493,GO-2021138201,2021,1/22/2021 5:00:00 AM,1245,2021,1/22/2021 5:00:00 AM,1632,D32,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,No,Mischief Under $5000,153,Avondale (153),051,Willowdale East (51),No
494,GO-2021167353,2021,1/24/2021 5:00:00 AM,1655,2021,1/27/2021 5:00:00 AM,757,D52,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Catholic,,,No,"Mischief To Religious Property, Educational Institutions, Etc.",169,Bay-Cloverhill (169),076,Bay Street Corridor (76),No
495,GO-2021170495,2021,1/26/2021 5:00:00 AM,1900,2021,1/27/2021 5:00:00 AM,1800,D51,Streets/Roadways/Highway,NO,NO,Other race not mentioned,,,,,,No,Mischief Under $5000,074,North St.James Town (74),074,North St.James Town (74),No
496,GO-2021168331,2021,1/27/2021 5:00:00 AM,1039,2021,1/27/2021 5:00:00 AM,1039,D51,Other Commercial / Corporate Places ,NO,NO,,Indian,,,,,No,Uttering Threats - Bodily Harm,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),Yes
497,GO-2021175910,2021,1/28/2021 5:00:00 AM,1217,2021,1/28/2021 5:00:00 AM,1217,D41,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Jewish,2SLGBTQ+,,Yes,Mischief Under $5000,122,Birchcliffe-Cliffside (122),122,Birchcliffe-Cliffside (122),No
498,GO-2021176294,2021,1/28/2021 5:00:00 AM,950,2021,1/28/2021 5:00:00 AM,1353,D32,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,,,,,,No,Other Criminal Code Offence Not Listed,037,Willowdale West (37),037,Willowdale West (37),No
499,GO-2021176592,2021,1/28/2021 5:00:00 AM,1330,2021,1/28/2021 5:00:00 AM,1449,D43,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Jewish,,,No,Mischief Under $5000,135,Morningside (135),135,Morningside (135),No
500,GO-2021208943,2021,2/2/2021 5:00:00 AM,200,2021,2/2/2021 5:00:00 AM,1501,D52,"Open Area, Park or Parking Lot",NO,NO,,,,Jewish,,,No,Assault,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),No
501,GO-2021298910,2021,2/6/2021 5:00:00 AM,1400,2021,2/16/2021 5:00:00 AM,1237,D55,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,,,,,,No,Disturbing Religious Worship Or Certain Meetings,060,Woodbine-Lumsden (60),060,Woodbine-Lumsden (60),No
502,GO-2021261871,2021,2/10/2021 5:00:00 AM,1345,2021,2/10/2021 5:00:00 AM,1442,D51,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,,,,,,No,Assault,074,North St.James Town (74),074,North St.James Town (74),No
503,GO-2021293547,2021,2/15/2021 5:00:00 AM,1444,2021,2/15/2021 5:00:00 AM,1444,D33,"Open Area, Park or Parking Lot",NO,NO,,,,Jewish,,,No,Mischief Under $5000,150,Fenside-Parkwoods (150),045,Parkwoods-Donalda (45),No
504,GO-2021296866,2021,2/16/2021 5:00:00 AM,528,2021,2/16/2021 5:00:00 AM,528,D43,Other Commercial / Corporate Places ,NO,NO,East/Southeast Asian,,,,,,No,Uttering Threats - Bodily Harm,139,Scarborough Village (139),139,Scarborough Village (139),Yes
505,GO-2021306505,2021,2/16/2021 5:00:00 AM,1444,2021,2/17/2021 5:00:00 AM,1445,D43,"Medical Facility (Hospitals, Long-term Care, etc.)",NO,NO,Black,,,,,,No,Uttering Threats - Bodily Harm,135,Morningside (135),135,Morningside (135),Yes
506,GO-2021349922,2021,2/16/2021 5:00:00 AM,1200,2021,2/24/2021 5:00:00 AM,1133,D22,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Jewish,,,No,Uttering Threats - Bodily Harm,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),No
507,GO-2021330327,2021,2/20/2021 5:00:00 AM,1600,2021,2/21/2021 5:00:00 AM,1056,D22,"Open Area, Park or Parking Lot",NO,NO,Black,,,,,,No,Mischief Under $5000,158,Islington (158),014,Islington-City Centre West (14),No
508,GO-2021336476,2021,2/22/2021 5:00:00 AM,1135,2021,2/22/2021 5:00:00 AM,1245,D32,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,,,,,Gay,,No,Uttering Threats - Bodily Harm,037,Willowdale West (37),037,Willowdale West (37),Yes
509,GO-2021356262,2021,2/23/2021 5:00:00 AM,825,2021,2/25/2021 5:00:00 AM,1027,D51,Public Transportation,NO,NO,Black,,,,,,No,Mischief Under $5000,073,Moss Park (73),073,Moss Park (73),No
510,GO-2021348769,2021,2/24/2021 5:00:00 AM,820,2021,2/24/2021 5:00:00 AM,834,D52,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,,,,,,No,Assault With a Weapon,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),No
511,GO-2021359774,2021,2/25/2021 5:00:00 AM,645,2021,2/25/2021 5:00:00 AM,1949,D32,Other Commercial / Corporate Places ,NO,NO,East/Southeast Asian,,,,,,No,Uttering Threats - Bodily Harm,050,Newtonbrook East (50),050,Newtonbrook East (50),No
512,GO-2021363989,2021,2/26/2021 5:00:00 AM,845,2021,2/27/2021 5:00:00 AM,150,D12,Streets/Roadways/Highway,NO,NO,,Chinese,,,,,No,Assault,028,Rustic (28),028,Rustic (28),Yes
513,GO-2021373346,2021,2/27/2021 5:00:00 AM,2112,2021,2/27/2021 5:00:00 AM,2112,D51,Streets/Roadways/Highway,NO,NO,,,,Muslim,,,No,Assault With a Weapon,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),Yes
514,GO-2021377606,2021,2/28/2021 5:00:00 AM,1512,2021,2/28/2021 5:00:00 AM,1542,D42,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,,,,,,No,Assault,116,Steeles (116),116,Steeles (116),No
515,GO-2021501349,2021,3/1/2021 5:00:00 AM,1,2021,3/18/2021 4:00:00 AM,1649,D23,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Jewish,,,No,Mischief Under $5000,001,West Humber-Clairville (1),001,West Humber-Clairville (1),No
516,GO-20211555000,2021,3/1/2021 5:00:00 AM,1800,2021,8/18/2021 4:00:00 AM,2138,D53,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,,,,,Transgender Woman (Identifies As Woman),Yes,Uttering Threats - Bodily Harm,095,Annex (95),095,Annex (95),Yes
517,GO-2021398901,2021,3/2/2021 5:00:00 AM,1542,2021,3/3/2021 5:00:00 AM,1714,D23,Streets/Roadways/Highway,NO,NO,Black,,,,,,No,Uttering Threats - Bodily Harm,008,Humber Heights-Westmount (8),008,Humber Heights-Westmount (8),No
518,GO-2021394695,2021,3/2/2021 5:00:00 AM,2200,2021,3/3/2021 5:00:00 AM,630,D55,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,,,,,,No,Mischief Under $5000,043,Victoria Village (43),043,Victoria Village (43),No
519,GO-2021431308,2021,3/7/2021 5:00:00 AM,154,2021,3/8/2021 5:00:00 AM,1455,D55,Public Transportation,NO,NO,,,,Muslim,,,No,Mischief Under $5000,069,Blake-Jones (69),069,Blake-Jones (69),No
520,GO-2021430023,2021,3/8/2021 5:00:00 AM,1143,2021,3/8/2021 5:00:00 AM,1143,D32,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,,,,,,No,Mischief Under $5000,034,Bathurst Manor (34),034,Bathurst Manor (34),No
521,GO-2021443523,2021,3/10/2021 5:00:00 AM,840,2021,3/10/2021 5:00:00 AM,840,D22,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,Black,,,,,,No,Mischief Under $5000,018,New Toronto (18),018,New Toronto (18),No
522,GO-2021450409,2021,3/10/2021 5:00:00 AM,1000,2021,3/11/2021 5:00:00 AM,759,D53,Other Commercial / Corporate Places ,NO,NO,Black,,,,,,No,Mischief Interfere With Property,099,Mount Pleasant East (99),099,Mount Pleasant East (99),Yes
523,GO-2021451622,2021,3/11/2021 5:00:00 AM,1106,2021,3/11/2021 5:00:00 AM,1106,D42,Streets/Roadways/Highway,NO,NO,,,,Muslim,,,No,Assault,145,Malvern West (145),132,Malvern (132),Yes
524,GO-2021461591,2021,3/12/2021 5:00:00 AM,1000,2021,3/12/2021 5:00:00 AM,1822,D52,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,,,,,,No,Assault,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),No
525,GO-2021462708,2021,3/13/2021 5:00:00 AM,923,2021,3/13/2021 5:00:00 AM,923,D14,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,Iranian,,,,,No,Harassing Communications,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),No
526,GO-2021472715,2021,3/14/2021 5:00:00 AM,1417,2021,3/14/2021 5:00:00 AM,1417,D32,Public Transportation,NO,NO,,,,Jewish,,,No,Mischief Interfere With Property,040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),No
527,GO-2021475428,2021,3/14/2021 5:00:00 AM,2211,2021,3/15/2021 4:00:00 AM,1314,D51,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Jewish,,,No,Mischief Under $5000,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),No
528,GO-2021486994,2021,3/15/2021 4:00:00 AM,700,2021,3/17/2021 4:00:00 AM,1525,D32,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,YES,,,,,2SLGBTQ+,,Yes,Mischief Under $5000,033,Clanton Park (33),033,Clanton Park (33),No
529,GO-2021502130,2021,3/18/2021 4:00:00 AM,2003,2021,3/18/2021 4:00:00 AM,2248,D55,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,,,,2SLGBTQ+,,Yes,Wilful Promotion of Hatred,066,Danforth (66),066,Danforth (66),No
530,GO-2021557630,2021,3/19/2021 4:00:00 AM,1718,2021,3/26/2021 4:00:00 AM,1926,D12,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,,,,Jewish,,,No,Uttering Threats - Bodily Harm,110,Keelesdale-Eglinton West (110),110,Keelesdale-Eglinton West (110),Yes
531,GO-2021663948,2021,3/20/2021 4:00:00 AM,1420,2021,4/13/2021 4:00:00 AM,51,D11,Public Transportation,NO,NO,East/Southeast Asian,,,,,,No,Assault,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),Yes
532,GO-2021522157,2021,3/20/2021 4:00:00 AM,30,2021,3/22/2021 4:00:00 AM,213,D14,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Muslim,,,No,Mischief Under $5000,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),No
533,GO-2021530321,2021,3/22/2021 4:00:00 AM,2045,2021,3/22/2021 4:00:00 AM,2227,D42,Public Transportation,NO,NO,East/Southeast Asian,,,,,,No,Mischief Under $5000,130,Milliken (130),130,Milliken (130),No
534,GO-2021530017,2021,3/22/2021 4:00:00 AM,1600,2021,3/22/2021 4:00:00 AM,2004,D14,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Jewish,,Woman,Yes,Uttering Threats - Bodily Harm,163,Fort York-Liberty Village (163),082,Niagara (82),No
535,GO-2021536282,2021,3/23/2021 4:00:00 AM,1713,2021,3/23/2021 4:00:00 AM,1713,D43,"Open Area, Park or Parking Lot",NO,NO,,,,,Gay,,No,Uttering Threats - Bodily Harm,142,Woburn North (142),137,Woburn (137),No
536,GO-2021536170,2021,3/23/2021 4:00:00 AM,1657,2021,3/23/2021 4:00:00 AM,1657,D51,NA,NO,NO,East/Southeast Asian,,,,,,No,Mischief Under $5000,073,Moss Park (73),073,Moss Park (73),No
537,GO-2021552518,2021,3/25/2021 4:00:00 AM,2253,2021,3/25/2021 4:00:00 AM,2253,D52,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,,,,,,No,Assault,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),No
538,GO-2021549299,2021,3/25/2021 4:00:00 AM,1414,2021,3/25/2021 4:00:00 AM,2043,D42,Streets/Roadways/Highway,NO,NO,,Chinese,,,,,No,Mischief Under $5000,130,Milliken (130),130,Milliken (130),No
539,GO-2021548716,2021,3/25/2021 4:00:00 AM,1242,2021,3/25/2021 4:00:00 AM,1400,D32,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,No,Mischief Under $5000,040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),No
540,GO-2021548532,2021,3/25/2021 4:00:00 AM,1215,2021,3/25/2021 4:00:00 AM,1215,D14,Public Transportation,NO,NO,East/Southeast Asian,,,,,,No,Uttering Threats - Bodily Harm,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),No
541,GO-2021548577,2021,3/25/2021 4:00:00 AM,830,2021,3/25/2021 4:00:00 AM,1441,D51,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,East/Southeast Asian,,,,,,No,Mischief Under $5000,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),No
542,GO-2021547990,2021,3/25/2021 4:00:00 AM,1045,2021,3/25/2021 4:00:00 AM,1052,D13,NA,NO,NO,,Indian,,,,,No,Criminal Harassment,094,Wychwood (94),094,Wychwood (94),No
543,GO-2021563236,2021,3/26/2021 4:00:00 AM,1700,2021,3/27/2021 4:00:00 AM,1431,D42,"Open Area, Park or Parking Lot",NO,NO,"Black, East/Southeast Asian",,,,,,Yes,Mischief Under $5000,129,Agincourt North (129),129,Agincourt North (129),No
544,GO-2021606576,2021,3/26/2021 4:00:00 AM,1,2021,4/2/2021 4:00:00 AM,2043,D31,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Muslim,,,No,Sexual Assault,027,York University Heights (27),027,York University Heights (27),No
545,GO-2021570861,2021,3/27/2021 4:00:00 AM,1911,2021,3/28/2021 4:00:00 AM,1911,D22,Public Transportation,NO,NO,"East/Southeast Asian, South Asian, Black",,,,,,Yes,Mischief Under $5000,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),No
546,GO-2021574723,2021,3/29/2021 4:00:00 AM,1124,2021,3/29/2021 4:00:00 AM,1124,D42,Streets/Roadways/Highway,NO,NO,,African,,Muslim,,,Yes,Assault,144,Morningside Heights (144),131,Rouge (131),Yes
547,GO-2021581081,2021,3/30/2021 4:00:00 AM,930,2021,3/30/2021 4:00:00 AM,953,D33,"Open Area, Park or Parking Lot",NO,NO,,,,Muslim,,,No,Assault,040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),No
548,GO-2021582585,2021,3/30/2021 4:00:00 AM,1318,2021,3/30/2021 4:00:00 AM,1318,D22,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,,,,,,No,Assault,161,Humber Bay Shores (161),017,Mimico (includes Humber Bay Shores) (17),Yes
549,GO-2021586684,2021,3/31/2021 4:00:00 AM,35,2021,3/31/2021 4:00:00 AM,40,D43,Public Transportation,NO,NO,Black,,,,,Transgender,Yes,Mischief Under $5000,136,West Hill (136),136,West Hill (136),Yes
550,GO-2021589948,2021,3/31/2021 4:00:00 AM,1245,2021,3/31/2021 4:00:00 AM,1308,D14,Business/Retail,NO,NO,East/Southeast Asian,,,,,,No,Uttering Threats - Bodily Harm,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),No
551,GO-2021590369,2021,3/31/2021 4:00:00 AM,1408,2021,3/31/2021 4:00:00 AM,1408,D52,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,,,,,,No,Uttering Threats - Bodily Harm,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),Yes
552,GO-2021600062,2021,4/1/2021 4:00:00 AM,1949,2021,4/1/2021 4:00:00 AM,1949,D41,Public Transportation,NO,NO,,Filipino,,,,,No,Assault,126,Dorset Park (126),126,Dorset Park (126),Yes
553,GO-2021598122,2021,4/1/2021 4:00:00 AM,1420,2021,4/1/2021 4:00:00 AM,2039,D55,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,South Asian,,,,,,No,Mischief Under $5000,059,Danforth East York (59),059,Danforth East York (59),No
554,GO-2021621742,2021,4/3/2021 4:00:00 AM,1730,2021,4/5/2021 4:00:00 AM,1434,D51,"Open Area, Park or Parking Lot",NO,NO,Black,,,Jewish,,Woman,Yes,Mischief Interfere With Property,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),No
555,GO-2021624083,2021,4/5/2021 4:00:00 AM,1750,2021,4/5/2021 4:00:00 AM,1750,D12,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,,Gay,,No,Mischief Under $5000,111,Rockcliffe-Smythe (111),111,Rockcliffe-Smythe (111),No
556,GO-2021627164,2021,4/6/2021 4:00:00 AM,757,2021,4/6/2021 4:00:00 AM,757,D13,"Open Area, Park or Parking Lot",NO,NO,,,,,,Woman,No,Mischief Under $5000,101,Forest Hill South (101),101,Forest Hill South (101),No
557,GO-2021676930,2021,4/9/2021 4:00:00 AM,410,2021,4/9/2021 4:00:00 AM,603,D22,Public Transportation,NO,NO,Black,,,,,,No,Uttering Threats - Bodily Harm,019,Long Branch (19),019,Long Branch (19),No
558,GO-2021653304,2021,4/9/2021 4:00:00 AM,1825,2021,4/9/2021 4:00:00 AM,1825,D32,Public Transportation,NO,NO,East/Southeast Asian,,,,,,No,Assault With a Weapon,041,Bridle Path-Sunnybrook-York Mills (41),041,Bridle Path-Sunnybrook-York Mills (41),No
559,GO-2021668593,2021,4/9/2021 4:00:00 AM,845,2021,4/12/2021 4:00:00 AM,707,D14,Public Transportation,NO,NO,,,,,,Woman,No,Assault,095,Annex (95),095,Annex (95),Yes
560,GO-2021666152,2021,4/11/2021 4:00:00 AM,1826,2021,4/11/2021 4:00:00 AM,1826,D11,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,Black,,,,,,No,Uttering Threats - Bodily Harm,086,Roncesvalles (86),086,Roncesvalles (86),No
561,GO-2021666753,2021,4/11/2021 4:00:00 AM,1830,2021,4/11/2021 4:00:00 AM,2246,D55,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,,,,,,No,Assault,061,Taylor-Massey (61),061,Taylor-Massey (61),No
562,GO-2021661692,2021,4/11/2021 4:00:00 AM,114,2021,4/11/2021 4:00:00 AM,114,D52,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,,,,,,No,Assault With a Weapon,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),Yes
563,GO-2021676887,2021,4/11/2021 4:00:00 AM,1214,2021,4/13/2021 4:00:00 AM,1101,D51,Public Transportation,NO,NO,East/Southeast Asian,,,,,,No,Assault,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),Yes
564,GO-20212011597,2021,4/15/2021 4:00:00 AM,2100,2021,10/19/2021 4:00:00 AM,1716,D33,Non-Commercial/Non for Profit,NO,NO,,,,,,Transgender Woman (Identifies As Woman),No,Assault With a Weapon,053,Henry Farm (53),053,Henry Farm (53),No
565,GO-2021717805,2021,4/19/2021 4:00:00 AM,1338,2021,4/19/2021 4:00:00 AM,1338,D51,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,,,,,,No,Assault,074,North St.James Town (74),074,North St.James Town (74),Yes
566,GO-2021764286,2021,4/22/2021 4:00:00 AM,2000,2021,4/26/2021 4:00:00 AM,1356,D55,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Mischief Under $5000,063,The Beaches (63),063,The Beaches (63),No
567,GO-2021770439,2021,4/27/2021 4:00:00 AM,1016,2021,4/27/2021 4:00:00 AM,1016,D11,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,,,Woman,No,Criminal Harassment,091,Weston-Pelham Park (91),091,Weston-Pelham Park (91),No
