OBJECTID,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
1421,GO-2024409494,2024,2/23/2024 5:00:00 AM,1746,2024,2/23/2024 5:00:00 AM,1746,D14,"Open Area, Park or Parking Lot",NO,NO,,,,Jewish,,,No,Mischief Under $5000,162,West Queen West (162),082,Niagara (82),No
1422,GO-2024416368,2024,2/23/2024 5:00:00 AM,1600,2024,2/24/2024 5:00:00 AM,1703,D14,Streets/Roadways/Highway,NO,NO,,,,,Gay,,No,Assault With a Weapon,080,Palmerston-Little Italy (80),080,Palmerston-Little Italy (80),No
1423,GO-2024535897,2024,2/23/2024 5:00:00 AM,2013,2024,3/11/2024 4:00:00 AM,937,D11,Public Transportation,NO,NO,South Asian,,,,,,No,Mischief Under $5000,088,High Park North (88),088,High Park North (88),No
1424,GO-2024414137,2024,2/24/2024 5:00:00 AM,932,2024,2/24/2024 5:00:00 AM,1111,D32,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Mischief Under $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),Yes
1425,GO-2024428911,2024,2/24/2024 5:00:00 AM,1730,2024,2/26/2024 5:00:00 AM,1156,D51,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,No,Mischief Under $5000,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),No
1426,GO-2024501006,2024,2/24/2024 5:00:00 AM,800,2024,3/6/2024 5:00:00 AM,1508,D53,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,,,,,2Slgbtq+,,No,Mischief Under $5000,103,Lawrence Park South (103),103,Lawrence Park South (103),No
1427,GO-2024428719,2024,2/25/2024 5:00:00 AM,1730,2024,2/26/2024 5:00:00 AM,1350,D13,NA,NO,NO,South Asian,,,,,,No,Mischief Under $5000,108,Briar Hill-Belgravia (108),108,Briar Hill-Belgravia (108),No
1428,GO-2024452333,2024,2/25/2024 5:00:00 AM,2000,2024,2/29/2024 5:00:00 AM,1017,D55,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,,,Transgender,No,Mischief Under $5000,061,Taylor-Massey (61),061,Taylor-Massey (61),No
1429,GO-2024431204,2024,2/26/2024 5:00:00 AM,600,2024,2/26/2024 5:00:00 AM,1703,D32,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Mischief Under $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),Yes
1430,GO-2024429664,2024,2/26/2024 5:00:00 AM,1330,2024,2/26/2024 5:00:00 AM,1337,D52,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,No,Mischief Under $5000,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),No
1431,GO-2024449887,2024,2/28/2024 5:00:00 AM,2000,2024,2/28/2024 5:00:00 AM,2010,D32,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Mischief Under $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),Yes
1432,GO-2024486089,2024,2/29/2024 5:00:00 AM,1030,2024,3/4/2024 5:00:00 AM,1733,D32,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,,2Slgbtq+,,No,Criminal Harassment,040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),No
1433,GO-2024481980,2024,3/1/2024 5:00:00 AM,600,2024,3/4/2024 5:00:00 AM,841,D32,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Jewish,,,No,Mischief Under $5000,036,Newtonbrook West (36),036,Newtonbrook West (36),No
1434,GO-2024476640,2024,3/3/2024 5:00:00 AM,830,2024,3/3/2024 5:00:00 AM,1354,D32,Public Transportation,NO,NO,,,,Jewish,,,No,Mischief Under $5000,033,Clanton Park (33),033,Clanton Park (33),No
1435,GO-2024476161,2024,3/3/2024 5:00:00 AM,1235,2024,3/3/2024 5:00:00 AM,1235,D51,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,No,Mischief Under $5000,072,Regent Park (72),072,Regent Park (72),No
1436,GO-2024476350,2024,3/3/2024 5:00:00 AM,623,2024,3/3/2024 5:00:00 AM,1305,D55,Religious Place of Worship/Cultural Centre,NO,NO,,,,Jewish,,,No,"Mischief To Religious Property, Educational Institutions, Etc.",063,The Beaches (63),063,The Beaches (63),No
1437,GO-2024483924,2024,3/4/2024 5:00:00 AM,1209,2024,3/4/2024 5:00:00 AM,1253,D55,"Open Area, Park or Parking Lot",NO,NO,,,,Jewish,,,No,Mischief Under $5000,070,South Riverdale (70),070,South Riverdale (70),No
1438,GO-2024507008,2024,3/4/2024 5:00:00 AM,1,2024,3/7/2024 5:00:00 AM,1052,D52,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Jewish,,,No,Mischief Under $5000,079,University (79),079,University (79),No
1439,GO-20241935543,2024,3/4/2024 5:00:00 AM,2249,2024,9/4/2024 4:00:00 AM,242,D32,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,,,,Jewish,,,No,Criminal Harassment,033,Clanton Park (33),033,Clanton Park (33),No
1440,GO-2024493450,2024,3/5/2024 5:00:00 AM,1550,2024,3/5/2024 5:00:00 AM,1559,D55,Public Transportation,NO,NO,Black,,,,,,No,Assault With a Weapon,066,Danforth (66),066,Danforth (66),Yes
1441,GO-2024507093,2024,3/7/2024 5:00:00 AM,1104,2024,3/7/2024 5:00:00 AM,1104,D33,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,,,Jewish,,,Yes,Mischief Under $5000,040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),No
1442,GO-2024554112,2024,3/12/2024 4:00:00 AM,1409,2024,3/13/2024 4:00:00 AM,1414,D52,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,No,Mischief Under $5000,164,Wellington Place (164),077,Waterfront Communities-The Island (77),No
1443,GO-2024562440,2024,3/12/2024 4:00:00 AM,0,2024,3/14/2024 4:00:00 AM,1524,D11,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Jewish,,,No,Mischief Under $5000,084,Little Portugal (84),084,Little Portugal (84),No
1444,GO-2024554839,2024,3/13/2024 4:00:00 AM,1414,2024,3/13/2024 4:00:00 AM,1548,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,Palestinian,,,,,No,Mischief Interfere With Property,027,York University Heights (27),027,York University Heights (27),No
1445,GO-2024550002,2024,3/13/2024 4:00:00 AM,24,2024,3/13/2024 4:00:00 AM,24,D51,Streets/Roadways/Highway,NO,NO,Black,,,,,,No,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),No
1446,GO-2024564573,2024,3/13/2024 4:00:00 AM,1630,2024,3/14/2024 4:00:00 AM,2028,D11,Public Transportation,NO,NO,,,,Muslim,,,No,Mischief Under $5000,088,High Park North (88),088,High Park North (88),Yes
1447,GO-2024572173,2024,3/13/2024 4:00:00 AM,1938,2024,3/15/2024 4:00:00 AM,1956,D53,Public Transportation,NO,NO,"East/Southeast Asian, Black",,,,,,No,Assault With a Weapon,095,Annex (95),095,Annex (95),Yes
1448,GO-20241170153,2024,3/13/2024 4:00:00 AM,1500,2024,6/9/2024 4:00:00 AM,1500,D11,Business/Retail,NO,NO,,,,Muslim,,,No,Mischief Under $5000,087,High Park-Swansea (87),087,High Park-Swansea (87),Yes
